名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
青笋木耳炒肉片,151360.jpg,肉片 青笋 木耳,豆瓣酱 葱花 盐 油,,微辣,,,春季食谱,"['青笋切片；木耳切丝；里脊肉切片，洗净。肉片装盘用豆瓣酱、少许油、花椒面、葱花、嫩肉粉，抓匀码味。', '将青笋片、木耳丝放在锅内加少许盐炒断生，盛出锅装盘待用', '锅内放油，七八成热的时候，放入码好味儿的肉片，端锅离开火源、待油不跳后再放用大火炒。', '肉片炒至变色后，将炒断生的青笋片和木耳丝到入锅中，翻炒。', '等肉丝、青笋片、木耳丝炒匀后，装盘盛出']",150,富含维生素、含蛋白质、铁元素
蒜香拌茄子,348287.jpg,圆茄子 大蒜 香菜,芝麻酱 盐 辣椒油,,蒜香,,,夏季食谱,"['主要原料。', '圆茄子去皮切滚刀块备用。', '将茄子块放入电压力锅蒸熟。', '香菜切末，大蒜切蒜末备用。', '蒸熟的茄子晾凉，放芝麻酱，香油，盐，大蒜，香菜，辣椒油拌匀即可。', '蒜香拌茄子。']",100,富含维生素、含蛋白质、维生素E
卤海带头,385205.jpg,盐渍海带头,八角 小茴香 花椒 香叶 桂皮 丁香 蒜 姜 冰糖 酱油 盐,,原味,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['盐渍海带洗干净，泡至少三个小时。', '泡好的海带头切成小块。', '香辛料准备好。', '将香料放入袋中。', '锅内加水，放入香料袋，放入海带，加入冰糖、酱油、适量盐，大火煮开后，小火煮二十分钟。', '煮好晾凉后放入冰箱几个小时，入味后就可以吃了。']",100,富含碘、含蛋白质、维生素C
酸奶馅蛋香吐司,663195.jpg,吐司,鸡蛋 无糖酸奶,,奶香,烤,,,"['吐司切掉边，然后2片一叠，一分为4小块，这样每个小块都有上下2小片吐司。', '往吐司片上抹上无糖酸奶，再盖上另外一片吐司片即可。', '2个鸡蛋打成蛋液，把夹好酸奶馅的吐司块，放进去沾满蛋液。', '放入空气炸锅，160度10分钟即可。', '烤好的吐司蛋香满满，咬一口能吃到里面的酸奶馅，想吃甜的可以在吐司片上抹上蜂蜜或者蛋黄酱，控糖人士就不需要啦，就这么吃就很好吃。', '切下来的吐司边也不要浪费，沾上剩余的鸡蛋液，喷上少许油，撒上椒盐粉，烤箱160度10分钟，就是酥脆的椒盐吐司条小零食啦。']",250,富含蛋白质、含钙、维生素D
高升排骨,252889.jpg,猪小排 醋 生抽,料酒 白糖 油,,咸甜,,,冬季食谱,"['猪小排剁成小块，洗净沥干水分。', '热锅温油，入排骨煸炒2-3分钟至肉有些泛金黄色。', '加1汤匙料酒，2汤匙醋，3汤匙白糖，4汤匙生抽。', '中火煮开，转小火焖20分钟左右。', '看到汤汁浓稠，刚刚可以挂住排骨即可。']",100,富含蛋白质、含钙、维生素B
黑木耳炒白菜,372314.jpg,大白菜 黑木耳 葱 姜,盐 色拉油 生抽 醋 糖,,咸鲜,,,冬季食谱,"['准备材料。黑木耳已泡发。', '大白菜切块。', '葱切碎，姜切片，素菜放不放姜，完全是个人习惯和爱好问题，不必纠结。我切成大片的，不喜欢吃的人也方便挑出去。', '炒锅倒油，炒香葱姜。', '下大白菜翻炒。', '下木耳翻炒。', '淋入生抽醋汁，这个菜，醋的量不用太多，一点点儿就好了。', '加适量的盐。搓一点点儿糖，拌炒均匀，出锅即可。', '淋入生抽醋汁，这个菜，醋的量不用太多，一点点儿就好了。加适量的盐。搓一点点儿糖，拌炒均匀，出锅即可。咸鲜微酸，开胃下饭，这样的菜，廉价又健康，多吃无防。黑木耳可以换成香菇，或者金针菇等都可以。如果想吃荤的，加几片瘦肉，几个虾仁也挺好的。']",100,富含膳食纤维、含维生素C、铁元素
豉油鸡,148793.jpg,鸡,水 姜 葱 八角 桂皮,,酱香,,粤菜,秋季食谱 冬季食谱,"['将生抽、红烧汁、料酒放入碗里。', '加入一碗水混合均匀。', '葱切段，姜切片；桂皮八角和鸡洗净备用。', '锅里放入2汤匙的油，加入桂皮、八角、葱段和姜片煸香。', '煸炒至焦金色即可。', '然后加入调好的酱汁烧开后小火慢煮10分钟。', '在慢煮的时候盖上锅盖。', '此时酱汁煮过10分钟后就可以闻到很香的香料味了。', '开中火后放入鸡，待烧开后转小火盖上锅盖慢煮20分钟。', '每煮5分钟把鸡翻过另一边继续盖上盖子慢煮。', '这时酱汁就会慢慢变得浓稠，而鸡肉就会越煮越入味了。', '煮了20分钟后酱汁就已经烧干了一半，这时候可以开中火把其余的酱汁稍微收干即可出锅；然后切成块状趁热食用。', '成品。']",200,富含蛋白质、含脂肪、维生素B
拿破仑酥,237607.jpg,千层酥皮 炼奶 糖粉,淡奶油 草莓 蛋黄液,,其他,,,儿童节,"['按之前教过的千层酥皮中的配方，把粉类的材料全部混合，', '加入软化的黄油，与粉类混合成沙状，加入水和成水油皮，', '剩下的黄油擀成大方块，按三折三的方法叠四次，', '擀成0.35cm厚，', '切下10*10cm的一块，', '刷上一层蛋黄液（一大勺蛋黄+一大勺蛋白），上180℃/下160摄氏度35cm左右，', '熟不熟这个切开就知道了，全部酥皮的层次清晰就是熟了，切成小块，分层挤上奶油，放上草莓即可，']",400,富含碳水化合物、含脂肪、蛋白质
昂刺鱼汤,486307.jpg,昂刺鱼,生姜 葱,,原味,,,秋季食谱 冬季食谱,"['现杀的昂刺鱼清洗干净。', '葱姜切片塞入鱼肚子里。', '热锅冷油下昂刺鱼中小火慢煎。', '煎到表面呈金黄色有点焦的那种就可以翻面，期间不要翻面保证鱼肉不散不粘锅。', '煎到两面金黄就可以加热水。水量刚没鱼身的2/3处。', '大火滚开小火慢炖一般鱼炖15-30分钟为最佳。盐可以在大火滚开后放或者快出锅时放', '喝的时候可以撒点葱花香菜，味道鲜美！']",100,富含蛋白质、含维生素B、铁元素
南瓜丝油墩子,487407.jpg,嫩南瓜 鸡蛋 面粉,油 盐 水,,原味,,,秋季食谱,"['准备好食材', '先把南瓜，切开', '用勺子，挖出南瓜瓤', '把南瓜洗干净，擦成丝', '把南瓜丝，放入碗中', '放入鸡蛋', '用筷子，搅拌均匀', '放入面粉和盐', '再次，搅拌均匀', '倒入水', '用筷子搅拌成，无干粉的面糊', '起锅热油', '把模具洗干净，擦干水份放入油锅中，一起加热，防止面糊粘底', '模具加热好，放入8分满的南瓜丝面糊', '油温8层热，放入油锅炸', '开中小火，炸至面糊成型，即可脱模', '脱模后，炸至两面金黄，夹出沥干油份，装盘', '外脆里嫩的南瓜丝油墩子，做好。']",100,富含维生素A、含膳食纤维
海蛏羹,407667.jpg,海蛏,香菇 姜丝 香菜 蛋清 生粉 鸡粉 盐 糖 胡椒粉 料酒,,清淡,,,夏季食谱,"['海蛏拨壳洗净，香菇切粒备用。', '海蛏要用料酒，胡椒粉，地瓜粉搅拌至粘稠状，腌制15分钟备用。', '锅入水烧开，将海蛏用筷子一只一只的入锅，全部下的话水温会急剧下降，地瓜粉不容易凝结，全部下完烧开就捞出备用。', '另起锅入少许油，下香菇粒爆香。', '然后加水，加入姜丝烧开。', '接着加入海蛏，入鸡粉，盐，糖调味，然后用水淀粉勾芡至粘稠状，接着下蛋清，蛋清要慢慢往锅里倒，边倒边搅拌才能形成白色蛋花。', '起锅前撒点胡椒粉，装碗后入香菜即可上桌。']",100,富含蛋白质、含锌、维生素A
黄瓜木耳拌腐竹,505967.jpg,黄瓜 木耳 腐竹 花生,芝麻 葱 蒜 糖 醋 香油 麻油 橄榄油 香菜,,原味,,,夏季食谱,"['腐竹和木耳泡发。木耳焯水。', '黄瓜拍段。', '葱蒜香菜。', '放入葱蒜香菜芝麻酱油香油麻油橄榄油。', '放入花生。', '搅拌均匀。', '装盘。']",120,富含蛋白质、维生素C、膳食纤维
双腊煲仔饭,316472.jpg,大米 腊肉 鸡蛋 腊肠,猪油 青菜 熟酱油,,原味,,粤菜,,"['腊肉一小段、腊肠一条切片。', '大米洗净泡水二十分钟，沙煲底抹上猪油，放入泡好的米中火烧开。', '当烧至水微干时，放入腊味并顺煲边淋入少许油，盖上盖子，转小火煮十分钟。', '开盖在中间打进一个鸡蛋，关火盖盖子再焖上十分钟即可。', '加入汤熟的青菜，淋上熟酱水。']",300,富含碳水化合物、含蛋白质、维生素B
土豆沙拉,168716.jpg,土豆,马铃薯 青瓜 白菜 香肠,,原味,,,夏季食谱,"['准备材料', '白菜用水煮热，稍微加一点盐', '青瓜切片，胡萝卜和香肠切粒备用', '将土豆削皮', '把土豆蒸熟拌入沙拉酱稍微弄碎', '胡萝卜与香肠炒熟，白菜切碎，土豆里面稍微加一点点黑胡椒和盐', '把材料都拌在一起就完成了']",120,富含碳水化合物、含蛋白质、维生素C
饺子,433032.jpg,肉碎 韭菜 饺皮,油 盐 鸡精 姬松茸 香菇 干贝,,咸香,,,冬至,"['干贝、香菇、姬松茸、虾米泡发后切碎。', '把韭菜切碎和肉碎、香茹碎、干贝碎、姬松茸碎、虾米碎、蛋1只、淀粉适量、盐适量、少许鸡精、胡椒粉、十三香、少许香油拌勿。', '把适量肉馅放入饺皮中，对叠双手一压即成饺子，备用。', '入锅蒸25分钟取出。', '洒上点葱花，另一碟中倒上少许陈醋开吃。']",200,富含碳水化合物、含蛋白质、维生素B
双参鸡汤,369856.jpg,鸡腿 罗汉参 海参,清水,,咸甜,,,秋季食谱 冬季食谱,"['鸡腿', '罗汉参', '鸡腿焯水', '罗汉参去皮洗净切开', '海参泡几小时，去石灰质', '所有材料放砂锅，放清水', '大火烧开，中小火炖一小时左右', '装盘']",100,富含蛋白质、含维生素B、铁元素
猪肉酿苦瓜,235054.jpg,猪肉 冬菇 生粉 蛋,苦瓜 紹興酒 酱油,,清淡,,,夏季食谱,"['浸透冬菇至软身，並切细粒', '在猪肉末里加入生粉和鸡蛋', '腌肉20分钟后，加入冬菇粒拌勻', '把苦瓜去囊，切3厘米厚', '在平底鑊，煮滾水灼苦瓜30秒，再過冷水', '将豬肉镶入若瓜中，並排放在碟上，在锅中放入蒸架，再倒入水煮滾，放入苦瓜蒸煮8-10分钟至豬肉全熟']",100,富含维生素、含蛋白质、维生素C、铁元素
奶香紫薯羹,369095.jpg,紫薯 纯牛奶,蜂蜜,,奶香,,,秋季食谱,"['准备材料', '紫薯洗净去皮切小块装碗里放锅里蒸大约六分钟（不确定的话可以用筷子戳，一戳就面了即可）', '用筷子捣捣捣捣碎', '加牛奶和蜂蜜', '搅拌均匀', '再滴些牛奶在上面，成品']",100,富含膳食纤维、含蛋白质、维生素A、铁元素
清炖羊排白萝卜,360038.jpg,羊排 白萝卜,葱 姜 大料 花椒 桂皮 香叶 淮山片 枸杞 盐,,咸鲜,,,冬季食谱,"['羊排切小件', '焯水', '调料备好', '喜欢最后煮出的汤“清静”的话，可以把调料用盒装', '将羊排放入砂锅，调料除枸杞一并放入，水量约羊排的3倍', '萝卜快下锅时再切成块', '中小火炖约一个半小时，达到肉用筷子很容易扎透的程度', '这时再下萝卜', '如果肉已明显半脱骨的样子，可以先捞出羊排，只炖萝卜', '萝卜炖半个多小时后放入羊排', '最后放枸杞，关火加盐', '香菜是这道菜比较传统的搭配，家里赶巧没了，改用枸杞效果也不错，清补又悦目', '羊排和萝卜经过长时间炖煮，基本没有浓重的味道了', '肉很烂，老少兼宜']",100,富含蛋白质、维生素C、钙
猪肉馅水饺,357060.jpg,五花肉 葱 饺子皮 榨菜,老酒 芝麻油 盐,,其他,,,秋季食谱,"['五花肉用绞肉机绞好，葱和榨菜切碎搅拌均匀。再倒入老酒，盐，芝麻油，搅拌均匀备用。', '包饺子，每一个饺子放适量的肉，注意锁边以免下锅散开。', '煮饺子，半锅水烧开放入饺子，水滚后分三次加入三分之一杯的冷水，最后烧开盛出。', '开动！超级好吃٩(•̤̀ᵕ•̤́๑)']",300,富含蛋白质、碳水化合物、维生素B
红豆薏米粥,281062.jpg,红豆 薏米 莜麦粒,白砂糖,,甜味,,,夏季食谱,"['准备食材红豆、薏米、莜麦粒各50克；', '洗净，温水浸泡1小时；', '浸泡好食材，放入压力锅加适量的清水；PS：水量根据自己喜欢吃的稠稀而定。', '压力锅按煲豆类键，约70分钟；PS：如果用电饭锅的约煲90分钟；', '.煲好的粥乘热加入白砂糖拌均，即可享用；PS：喜欢吃冰的放入冰箱冷藏2小时']",150,富含蛋白质、含碳水化合物、维生素B
酥皮沙拉卷,153056.jpg,活虾 香蕉 春卷皮,鸡蛋 葱姜 面包糠 生粉,,其他,,,夏季食谱,"['原料图：活虾和香蕉。', '原料图：春卷皮。', '配料图：鸡蛋和面包糠。', '调料图：丘比沙拉酱。', '虾去头去壳去虾线取虾仁，一分为二，全部处理好以后，放入拍碎的葱姜，滴入几滴料酒，轻轻拌匀，腌制片刻。', '腌制好的虾挑去葱姜，加入1茶勺的生粉轻轻抓匀。', '入开水锅焯至7分熟。', '把香蕉切成和虾仁差不多大小的块，加入虾仁里。', '调入两大勺的沙拉酱。', '搅拌均匀成馅料备用。', '取一块春卷皮，在一方铺上适量馅料。', '先把边缘折起。', '再把两边往中间折，然后从下至上卷起，收口处用蛋液粘合。', '依次全部做好。', '包好的沙拉卷，放入蛋液里均匀的包裹上一层蛋液。', '再放入面包糠里均匀的包裹上一层买面包糠。', '依次全部做好。', '锅中加入适量油，烧至六成热，下入做好的沙拉卷。', '炸至表面金黄酥脆，捞出用吸油纸吸干油份。', '装盘即可。']",100,富含蛋白质、维生素
蒜泥拌丝瓜,400928.jpg,丝瓜 蒜瓣,香醋 生抽 盐 味精 玉米油,,咸鲜,,,夏季食谱,"['丝瓜去皮。', '用刮皮刀刮下最外面的果肉，成长条。', '从一头卷起。卷成花朵。', '从中间切段，成为两个花朵，晶莹剔透的。', '剩下中间的切成片。', '摆盘。', '大蒜去皮打成蒜泥。加入所备调料调成蒜汁。', '调好的蒜汁浇在盘子中间，现吃现拌。']",100,富含维生素、含蛋白质
双椒爆鸭肠,159653.jpg,鸭肠,泡椒 红辣椒 熟花生米,,酸辣,,,秋季食谱,"['准备好原材料；', '用盐搓洗鸭肠，冲洗干净；', '再加入面粉揉洗鸭肠，冲洗干净；', '将花椒、八角和桂皮放入钢球中；', '煮水，水开后继续煮上两、三分钟；', '下入洗好的鸭肠，鸭肠微微打卷后捞出切成小段；', '锅中留少许油，下入泡椒、大蒜片和红辣椒一起爆香；', '再下入刚焯过水的鸭肠翻炒；', '加入适量的生抽、料酒和盐调味料，翻炒均匀；', '出锅前加入花生米翻炒即可；', '出锅装盘。']",300,富含蛋白质、含维生素A、铁元素
蜂蜜柚子茶,242644.jpg,柚子 蜂蜜,冰糖 盐,,酸甜,,,夏季食谱,"['把柚子涂抹上一层盐刷净干净；削下柚子皮', '削下的黄皮切成大约4厘米长、粗细1毫米左右的细丝，越细越好', '把切好的柚子皮，放到盐水里腌1小时', '取出果肉，我只用了不到一半的柚子果肉。', '把腌好的柚子皮放入清水中，用中火煮10分钟，变软脱去苦味，清水冲一遍。不怕苦的可以不冲。', '把处理好的柚子皮和果肉放入干净无油的锅中，加适量清水和冰糖，用中小火熬1个小时，熬至黏稠，注意熬的时候要经常搅拌，以免粘锅', '用勺子搅拌成泥状（这步用搅拌机处理会更细腻）', '等放凉后，加入蜂蜜，搅拌均匀后就做成蜂蜜柚子茶了，装入密封罐放在冷藏室存放，喝的时候用温水冲一下即可']",50,富含维生素C、含抗氧化物质
牛肉味豆腐片,249450.jpg,豆腐,盐 油 辣椒粉 大喜大牛肉粉 生抽,,中辣,,,夏季食谱,"['备豆腐，牛肉调味料', '切片', '装盆', '撒盐', '撒上牛肉调味料', '撒上辣椒粉', '淋上生抽', '淋上油', '腌制10分钟', '炸锅内胆刷上油', '铺上腌好的豆腐', '套进炸锅里', '调至160度炸10分钟', '即成', '出锅，淋上香油上桌。']",100,富含蛋白质、含钙、铁元素
